cross,mode,mean_INDEX,sd_INDEX,p95_INDEX,index_score
CULT_013 x CULT_063,F2,1.14062573805781,0.04048488748378052,1.2062733280971956,1.1811106255415904
CULT_013 x CULT_050,F2,1.0684248250418145,0.0413720433197359,1.1392266215699898,1.1097968683615504
CULT_013 x CULT_277,F2,1.038699928820912,0.03972861251272161,1.1052668089084707,1.0784285413336336
CULT_013 x CULT_144,F2,1.0391075288759966,0.04089246238149648,1.1073441391865957,1.0799999912574931
CULT_013 x CULT_038,F2,1.003736855486291,0.039529442977290455,1.069131200476749,1.0432662984635817
CULT_013 x CULT_065,F2,1.0233196522556929,0.04120721956050698,1.090778478644624,1.0645268718161998
CULT_013 x CULT_188,F2,1.0344714595660849,0.04017622754791707,1.1017130474840244,1.074647687114002
CULT_013 x CULT_076,F2,1.0199875552815258,0.0401515986495305,1.0849182114376672,1.0601391539310563
CULT_013 x CULT_060,F2,1.021340386586173,0.039915884633653954,1.087827527059682,1.061256271219827
CULT_063 x CULT_050,F2,1.0266088013838366,0.04075935753829017,1.0966036826860945,1.0673681589221267
CULT_063 x CULT_277,F2,1.0088347408200677,0.04002234026582785,1.0746501643109492,1.0488570810858957
CULT_063 x CULT_144,F2,1.0065990455589442,0.039992083959015885,1.0709384752309383,1.0465911295179602
CULT_063 x CULT_038,F2,0.9688421485919932,0.04115850313104893,1.038511392554522,1.0100006517230422
CULT_063 x CULT_065,F2,0.9866588903463328,0.041799338281437184,1.0556232610044585,1.02845822862777
CULT_063 x CULT_188,F2,1.003929934142866,0.04061707749664995,1.0743674776623138,1.044547011639516
CULT_063 x CULT_076,F2,0.9965170746331016,0.040570245245693755,1.0641196940882574,1.0370873198787953
CULT_063 x CULT_060,F2,0.9870128397579498,0.04121176187990931,1.051421375523044,1.0282246016378591
CULT_050 x CULT_277,F2,0.9271612710449171,0.03853073133845926,0.9919803873088063,0.9656920023833764
CULT_050 x CULT_144,F2,0.9257514381430432,0.03951167318225007,0.9892219260595214,0.9652631113252932
CULT_050 x CULT_038,F2,0.8897117556159143,0.040106952037160463,0.9531360174729583,0.9298187076530747
CULT_050 x CULT_065,F2,0.9033493935736268,0.039181422844788545,0.9682119781893105,0.9425308164184153
CULT_050 x CULT_188,F2,0.9202772593771461,0.0395384692326778,0.9837137247759778,0.9598157286098239
CULT_050 x CULT_076,F2,0.9134723548443929,0.04123118749596008,0.9814813889393368,0.954703542340353
CULT_050 x CULT_060,F2,0.9122296212113971,0.0382614569347758,0.9726227866102064,0.9504910781461728
CULT_277 x CULT_144,F2,0.8940513184565126,0.03955371678326433,0.9564847160551412,0.933605035239777
CULT_277 x CULT_038,F2,0.8545492223773209,0.04100775381906411,0.919593730112701,0.895556976196385
CULT_277 x CULT_065,F2,0.8833013256694532,0.03770214651443922,0.9449476365372663,0.9210034721838924
CULT_277 x CULT_188,F2,0.8872712594132753,0.03899088362855379,0.9524804451947599,0.9262621430418291
CULT_277 x CULT_076,F2,0.8887300179031153,0.040333688946323575,0.9567985262627497,0.929063706849439
CULT_277 x CULT_060,F2,0.8949011880314847,0.04036584022371086,0.9596270911625919,0.9352670282551955
CULT_144 x CULT_038,F2,0.8592565515291836,0.04022455759321491,0.9270370259815855,0.8994811091223984
CULT_144 x CULT_065,F2,0.8754856031823315,0.0396376431223642,0.9419710040622303,0.9151232463046957
CULT_144 x CULT_188,F2,0.8950211946261339,0.04085221853791585,0.9593503647470365,0.9358734131640498
CULT_144 x CULT_076,F2,0.8922346252325012,0.04129496417597207,0.9575222067349108,0.9335295894084733
CULT_144 x CULT_060,F2,0.8849150451489883,0.040777735563455875,0.9529904278534527,0.9256927807124442
CULT_038 x CULT_065,F2,0.844775287112423,0.0404943123071529,0.9107473693008228,0.885269599419576
CULT_038 x CULT_188,F2,0.8498160789248249,0.03972745920677948,0.9129510041904351,0.8895435381316044
CULT_038 x CULT_076,F2,0.846402622403679,0.040787775005280885,0.9138166702384117,0.8871903974089599
CULT_038 x CULT_060,F2,0.8504417317554741,0.040831464077838775,0.9176087923717534,0.8912731958333129
CULT_065 x CULT_188,F2,0.8749484601313152,0.04025847297339623,0.9411298087210391,0.9152069331047115
CULT_065 x CULT_076,F2,0.8628047538390061,0.039974385225928076,0.9306609424177493,0.9027791390649342
CULT_065 x CULT_060,F2,0.8702569414952692,0.04105330137425201,0.9353151939334847,0.9113102428695212
CULT_188 x CULT_076,F2,0.8777198774584857,0.03913084358340162,0.9440810197713209,0.9168507210418873
CULT_188 x CULT_060,F2,0.8764337064885356,0.03919350599335478,0.9380222189281644,0.9156272124818904
CULT_076 x CULT_060,F2,0.8712482383311394,0.04141160683686459,0.9384845298253227,0.912659845168004
